date,weekdate,SamsungEU_end,SamsungEU_dpp,SamsungEU_start,SamsungEU_high,SamsungEU_low,SamsungEU_abount
17/05/11,3,1727000,-0.86,1732000,1745000,1704000,92835
17/05/12,4,1744000,0.98,1725000,1748000,1724000,60934
17/05/15,0,1757000,0.75,1740000,1757000,1730000,41001
17/05/16,1,1775000,1.02,1792000,1792000,1765000,56342
17/05/17,2,1791000,0.90,1788000,1793000,1775000,48290
17/05/18,3,1780000,-0.61,1760000,1780000,1757000,33508
17/05/19,4,1743000,-2.08,1773000,1780000,1734000,36620
17/05/22,0,1757000,0.80,1743000,1766000,1735000,31933
17/05/23,1,1775000,1.02,1780000,1792000,1755000,50174
17/05/24,2,1773000,-0.11,1766000,1777000,1761000,26291
17/05/25,3,1786000,0.73,1784000,1789000,1762000,38373
17/05/26,4,1806000,1.12,1794000,1806000,1786000,39584
17/05/29,0,1791000,-0.83,1806000,1819000,1791000,22612
17/05/30,1,1751000,-2.23,1791000,1791000,1748000,32674
17/05/31,2,1749000,-0.11,1758000,1768000,1749000,56275
17/06/01,3,1749000,0.00,1750000,1765000,1745000,23952
17/06/02,4,1790000,2.34,1754000,1790000,1754000,31801
17/06/05,0,1803000,0.73,1804000,1804000,1788000,26461
17/06/07,2,1800000,-0.17,1821000,1821000,1791000,56600
17/06/08,3,1819000,1.06,1800000,1819000,1789000,46221
17/06/09,4,1858000,2.14,1819000,1860000,1812000,44451
17/06/12,0,1835000,-1.24,1838000,1840000,1817000,21078
17/06/13,1,1834000,-0.05,1835000,1840000,1825000,28153
17/06/14,2,1839000,0.27,1840000,1851000,1828000,31445
17/06/15,3,1842000,0.16,1842000,1859000,1829000,48750
17/06/16,4,1853000,0.60,1830000,1855000,1830000,36011
17/06/19,0,1873000,1.08,1859000,1878000,1848000,28110
17/06/20,1,1921000,2.56,1900000,1922000,1890000,41354
17/06/21,2,1901000,-1.04,1918000,1924000,1887000,31271
17/06/22,3,1900000,-0.05,1912000,1920000,1891000,32472
17/06/23,4,1899000,-0.05,1897000,1904000,1879000,29603
17/06/26,0,1915000,0.84,1900000,1917000,1900000,24596
17/06/27,1,1921000,0.31,1905000,1923000,1905000,27996
17/06/28,2,1881000,-2.08,1901000,1912000,1862000,41190
17/06/29,3,1900000,1.01,1897000,1905000,1896000,26733
17/06/30,4,1862000,-2.00,1883000,1883000,1860000,43976
17/07/03,0,1870000,0.43,1867000,1882000,1841000,31580
17/07/04,1,1849000,-1.12,1866000,1880000,1842000,15456
17/07/05,2,1866000,0.92,1842000,1867000,1829000,25679
17/07/06,3,1895000,1.55,1885000,1895000,1872000,18473
17/07/07,4,1882000,-0.69,1887000,1896000,1873000,25089
17/07/10,0,1918000,1.91,1892000,1920000,1887000,27493
17/07/11,1,1929000,0.57,1924000,1927000,1915000,21571
17/07/12,2,1942000,0.67,1944000,1947000,1935000,30444
17/07/13,3,1987000,2.32,1946000,2000000,1946000,50165
