date,weekdate,LGE_RU,LGE_U,LGE_UC,LGE_D,LGE_RD,LGE_end,LGE_start,LGE_high,LGE_low,LGE_abount
17/04/06,3,70600,1,0,0,0,0,66900,70700,66300,1571616
17/04/07,4,70900,0,0,1,0,0,71200,72200,69800,1754356
17/04/10,0,67900,0,0,0,1,0,70700,70900,67900,1306155
17/04/11,1,69500,0,1,0,0,0,68100,69800,68100,1032197
17/04/12,2,69100,0,0,1,0,0,70000,70100,68900,555051
17/04/13,3,69500,0,0,1,0,0,69300,70300,69200,550004
17/04/14,4,68300,0,0,0,1,0,69000,69000,67800,492819
17/04/17,0,69600,0,1,0,0,0,68700,70200,68700,558900
17/04/18,1,70000,0,0,1,0,0,70000,70300,68900,544965
17/04/19,2,70700,0,0,1,0,0,70700,71500,70100,947412
17/04/20,3,71100,0,0,1,0,0,71300,71400,70400,718589
17/04/21,4,71000,0,0,1,0,0,71100,71300,70400,581937
17/04/24,0,71700,0,0,1,0,0,71400,72200,71300,551940
17/04/25,1,72200,0,0,1,0,0,72000,72200,71500,545785
17/04/26,2,72700,0,0,1,0,0,72800,72900,72300,640000
17/04/27,3,72300,0,0,1,0,0,72700,73400,72000,608575
17/04/28,4,69100,0,0,0,1,0,72000,72100,68700,2295287
17/05/02,1,70400,0,1,0,0,0,69600,71000,69200,1301950
17/05/04,3,71700,0,1,0,0,0,71800,72400,71200,799566
17/05/08,0,77000,1,0,0,0,0,72900,77000,72900,2624129
17/05/10,2,76300,0,0,1,0,0,77100,78800,75900,1904728
17/05/11,3,79800,0,1,0,0,0,77000,79800,76900,1876649
17/05/12,4,81200,0,1,0,0,0,80200,81300,79300,1589519
17/05/15,0,81000,0,0,1,0,0,81800,81800,79200,1261164
17/05/16,1,79000,0,0,0,1,0,81400,82000,78600,1357416
17/05/17,2,80000,0,1,0,0,0,79500,80900,79400,857014
17/05/18,3,79100,0,0,0,1,0,78800,79700,78500,716864
17/05/19,4,81400,0,1,0,0,0,79600,81400,79400,1094715
17/05/22,0,81600,0,0,1,0,0,82200,82300,81100,585488
17/05/23,1,81100,0,0,1,0,0,82200,82200,81000,573284
17/05/24,2,82300,0,1,0,0,0,81200,82400,80900,538991
17/05/25,3,82300,0,0,1,0,0,82800,82800,81700,513491
17/05/26,4,81900,0,0,1,0,0,82300,82400,81300,665382
17/05/29,0,83500,0,1,0,0,0,81700,84300,81700,823722
17/05/30,1,83500,0,0,1,0,0,83700,84100,82300,525707
17/05/31,2,82500,0,0,0,1,0,83500,83600,82100,714803
17/06/01,3,81300,0,0,0,1,0,82700,82900,81300,628909
17/06/02,4,86600,1,0,0,0,0,82100,86900,82100,1869364
17/06/05,0,87300,0,0,1,0,0,87700,88900,86900,998730
17/06/07,2,85300,0,0,0,1,0,86700,87100,84900,1346470
17/06/08,3,86800,0,1,0,0,0,85800,87800,85000,1330511
17/06/09,4,88300,0,1,0,0,0,87500,88800,87300,896973
17/06/12,0,85600,0,0,0,1,0,86800,87000,85200,1341050
17/06/13,1,85800,0,0,1,0,0,85000,86100,83800,1213895
17/06/14,2,85900,0,0,1,0,0,86400,88000,85400,987899
17/06/15,3,87300,0,1,0,0,0,85900,87700,85300,877550
17/06/16,4,86100,0,0,0,1,0,87200,87500,85800,737508
17/06/19,0,86200,0,0,1,0,0,86100,86900,84800,662054
17/06/20,1,86000,0,0,1,0,0,87300,87500,85700,628514
17/06/21,2,85900,0,0,1,0,0,86000,86300,84100,722785
17/06/22,3,81900,0,0,0,1,0,85300,86100,81300,2179462
17/06/23,4,84100,0,1,0,0,0,82500,84100,81800,1151493
17/06/26,0,85100,0,1,0,0,0,84600,85500,83600,734655
17/06/27,1,82300,0,0,0,1,0,84300,84800,82200,1431967
17/06/28,2,79300,0,0,0,1,0,81900,82000,78500,1989102
17/06/29,3,79700,0,0,1,0,0,80300,81200,79500,1018774
17/06/30,4,80200,0,0,1,0,0,78500,80700,78100,999093
17/07/03,0,80900,0,0,1,0,0,80400,82300,80300,928999
17/07/04,1,79900,0,0,0,1,0,80500,80800,79600,566386
17/07/05,2,79900,0,0,1,0,0,79900,81300,79400,648725
17/07/06,3,77100,0,0,0,1,0,80500,80600,76600,1965678
17/07/07,4,73900,0,0,0,1,0,76400,76400,73800,2330893
17/07/10,0,70800,0,0,0,1,0,72700,72800,70700,3056226
17/07/11,1,71500,0,0,1,0,0,71300,72000,70000,1546488
17/07/12,2,70800,0,0,1,0,0,72000,73000,70800,1208011
17/07/13,3,71200,0,0,1,0,0,71300,72500,71000,1363044
17/07/14,4,69500,0,0,0,1,0,71900,72200,69000,1764528
17/07/17,0,70100,0,0,1,0,0,69900,70400,69700,741053
17/07/18,1,70000,0,0,1,0,0,70300,70700,69600,660135
17/07/19,2,70500,0,0,1,0,0,70200,71400,70200,1017542
17/07/20,3,69400,0,0,0,1,0,70900,71200,69200,956192
17/07/21,4,68200,0,0,0,1,0,69800,70100,68200,1015026
17/07/24,0,67500,0,0,0,1,0,68200,68400,66700,1417600
17/07/25,1,67500,0,0,1,0,0,67500,68200,67300,838858
17/07/26,2,67900,0,0,1,0,0,67900,68700,67300,1066820
17/07/27,3,66500,0,0,0,1,0,68200,68300,66300,1371488
17/07/28,4,66700,0,0,1,0,0,66800,67800,66300,1282188
17/07/31,0,67100,0,0,1,0,0,67000,67600,66500,659263
17/08/01,1,68300,0,1,0,0,0,68000,69600,67800,1485811
17/08/02,2,68400,0,0,1,0,0,69200,69500,67300,838130
17/08/03,3,68400,0,0,1,0,0,68900,69200,68100,838838
17/08/04,4,71800,0,1,0,0,0,69000,72100,68800,1976833
17/08/07,0,71600,0,0,1,0,0,72300,72700,71500,947809
17/08/08,1,71600,0,0,1,0,0,72100,72200,70300,713434
17/08/09,2,71400,0,0,1,0,0,70700,71500,70500,690037
